Time (ns);[3Fe-4S]+ exp1;[3Fe-4S]+ exp2;[3Fe-4S]+ exp3;[4Fe-4S]2+ exp1;[4Fe-4S]2+ exp2;[4Fe-4S]2+ exp3;[4Fe-4S]2+ exp4;[4Fe-4S]2+ exp5;[4Fe-4S]2+ exp6
73;10039.5634;10216.5761;10834.5205;9689.2288;10326.9294;9419.2627;9898.7634;9937.8531;10060.2309
73.5;10276.3798;10507.997;10786.0356;9552.7881;9871.0141;9287.1032;9616.2523;10086.7262;10165.8198
74;10304.2453;10539.0109;10619.4077;9686.2015;9498.1879;9198.5375;9230.5753;10046.6024;10233.226
74.5;10130.0593;10257.9951;10677.127;9673.1332;9586.2324;9381.3144;9359.054;10445.4337;9743.2553
75;10093.0152;10164.279;10526.404;9572.1202;9725.2812;9367.8048;9489.8277;10167.776;10123.6038
75.5;10075.0175;10209.4658;10681.8674;9589.4702;9502.4019;9161.0445;10036.9442;10216.4469;9717.2649
76;10046.2132;10786.5049;10319.9248;9672.8062;9679.7566;9415.4745;9512.0376;10023.6353;10351.3121
76.5;9887.2738;10656.9244;10560.7738;9926.9784;9795.0173;9137.4786;9939.4401;10380.2644;10196.8791
77;9945.6996;10499.4298;10452.1877;9733.6507;9748.1668;9498.8782;9816.2155;10498.2344;10147.1325
77.5;10273.0302;10687.3173;10627.4153;9321.334;9655.4567;9182.0806;9448.5949;10348.6876;10209.9095
78;10336.0084;10624.9208;11105.1105;9682.4061;9781.8122;9517.3679;9477.7339;9790.0841;9870.5652
78.5;10282.3382;10487.1207;10596.4004;9867.4325;9554.9923;9752.7127;9723.557;10197.2959;9712.8971
79;10270.3674;10616.117;10725.0933;9662.928;9740.9336;9729.7015;9503.3033;10085.8746;10413.2631
79.5;10230.2959;10334.2926;10908.0884;9598.1144;9326.9772;9958.538;9336.028;9967.9799;10054.6688
80;10226.4672;10597.8181;10528.8134;9595.4321;9423.7161;9489.5591;9739.2525;10057.7547;9957.3559
80.5;10612.1839;10188.795;11188.9774;9805.5758;9572.9113;9154.3101;9297.0792;10015.4919;9849.2469
81;10108.2458;10233.2397;10814.6254;9951.2405;9906.5506;9483.6627;9523.982;10388.6716;9895.0922
81.5;10105.6763;10506.8373;10894.3296;9606.746;9723.7809;9356.3323;9821.0389;10172.9012;9868.5021
82;10251.0339;10267.7558;10661.2461;9416.9165;9829.2614;9741.4407;9332.3313;9778.7533;10076.1897
82.5;10023.3345;10442.0456;11020.2273;9456.3761;9744.0721;9305.9816;9286.515;10059.2294;9839.821
83;9862.1457;10434.9325;11011.9226;9451.0666;9296.6136;9178.5998;9306.3583;10144.4881;10431.596
83.5;10218.6708;10187.1534;11048.2645;9821.1381;9338.1372;9279.4394;9470.7641;9951.0329;9923.3637
84;9935.6917;10418.1469;10818.606;9693.8648;9874.9855;9223.9564;9409.6914;10156.2639;10096.7718
84.5;10187.2235;10491.7688;10630.5933;10030.1942;9730.9663;9123.2866;9340.668;10116.9852;9957.911
85;10250.7962;10506.533;11199.1684;9983.4045;9660.7947;9270.3827;9541.0133;10183.4859;10393.0504
85.5;9946.3725;10385.6661;10797.4609;9443.1766;9624.9724;9352.992;9690.1978;10475.4005;10180.7778
86;9914.443;10108.8466;10967.2476;9469.2447;9579.4908;9230.3297;9595.5402;10390.1364;9781.1108
86.5;10035.4991;10150.019;10535.0093;9448.198;9430.2722;9417.0625;9574.2284;10222.8144;9902.8936
87;10092.2538;10433.9287;10017.6277;10057.6829;9919.528;8905.7365;9434.4177;10145.5078;9712.6661
87.5;10139.4116;10116.9876;11085.4154;10044.9077;9710.9453;9467.6948;9676.0943;9835.7566;9707.5512
88;10090.0137;10440.232;10778.483;9951.4327;9678.4647;9224.9238;9943.6022;10064.6039;9914.9549
88.5;10363.5423;10443.8863;11062.35;9535.5555;9873.7339;9739.9389;9679.3104;9612.2246;10347.6529
89;9859.9346;10536.9653;10676.4144;9629.186;9932.6491;9407.8795;9756.8551;10285.6743;10104.3919
89.5;9951.167;10458.0505;11358.7377;9942.5507;9523.5922;9606.0692;9689.9354;9964.3097;9876.6669
90;10138.3628;10354.7914;10934.2844;9827.8313;9439.351;9360.4809;9669.8629;9947.4702;10250.9131
90.5;9801.3373;10676.7823;10559.7669;9794.6904;9688.4417;9317.1756;9551.9679;10206.1689;9726.6025
91;10000.6943;10246.3912;10528.2122;9764.2744;9746.0206;9123.6269;9589.9702;9759.9834;10001.0342
91.5;10159.88;10390.1835;10428.2143;9834.3427;10076.4827;9315.8276;9891.6219;10290.3311;9887.0336
92;10086.5837;10154.8332;10647.6714;9761.8832;9744.0807;9719.4528;9828.8018;10259.3697;9920.9073
92.5;9974.418;10274.081;10398.8947;10233.4385;10078.1723;9214.8489;9554.7844;10363.5844;10048.4372
93;9927.4562;10340.9301;10530.3898;9838.6466;9947.6304;9597.925;9251.2879;10213.0315;9882.1044
93.5;9954.0148;10546.2788;10512.6354;9909.8949;9862.3563;9318.2852;9274.3279;9832.8585;9945.9648
94;9944.2662;10474.7889;10849.8051;9609.6675;9743.9099;9397.6493;9321.8007;10087.9745;9697.3621
94.5;9938.0662;10501.4287;10582.4135;9949.9802;9928.2441;9488.9563;9610.1596;9886.8056;9899.5933
95;9827.32;10509.3628;10373.0534;9625.2641;9870.1148;9199.6517;9471.3314;10239.0795;9668.6415
95.5;9656.2632;10668.8865;10613.8318;9799.2905;9698.3984;9335.2322;9246.1425;9873.2427;9726.1897
96;9907.9981;10550.4633;10845.3622;9832.2744;9994.0614;9432.0314;9624.0027;10115.1697;9590.8277
96.5;9989.8449;10599.3205;10218.8744;9942.8718;9940.2769;9114.49;9578.5992;9989.9113;9689.1467
97;9712.7737;10026.5036;10315.2337;9949.2449;9842.9633;9463.6154;9493.8351;10316.1193;9714.6788
97.5;9725.1813;10402.2152;10672.0198;9916.1644;9755.78;9353.8035;9689.8599;9979.2542;9625.9478
98;9718.9425;10374.204;10585.1665;9850.316;10069.6792;9097.8697;9522.9688;10331.4108;9777.4525
98.5;9482.9296;10187.9369;10341.1212;9647.0207;10106.6833;9134.3457;9537.0226;10220.129;9656.2489
99;9838.4158;10439.7059;10460.0153;9897.5249;9610.6762;9311.2188;9504.5062;9980.6446;9689.3099
99.5;10002.8099;10602.4134;10278.8518;9980.4952;9703.5535;9611.5076;9725.8878;10220.4849;9904.8912
100;9987.4121;10402.0928;10303.1213;9901.27;10131.2282;9418.9457;9345.9314;10542.2616;9384.4463
100.5;10191.8011;10316.5789;10524.8593;10161.4184;9746.0563;9682.8856;9967.7039;10401.5508;9496.8986
101;9853.925;10514.3487;10170.4302;10211.0812;9892.2796;9685.7867;9759.6486;10155.662;9763.577
101.5;10258.8233;10587.9905;10544.3892;9627.5913;9880.1567;9723.2684;9948.7308;10444.7009;9776.9849
102;10172.9316;10143.5191;10681.0332;10145.1614;9803.09;9407.9874;9505.5132;10298.7592;9504.2329
102.5;10112.9952;10098.0094;10589.5431;9663.6007;9573.3923;9275.1948;9348.8747;10291.378;9497.0207
103;9765.0748;10530.7527;10376.1672;10019.1041;9723.0295;9596.3334;9843.7602;10203.8342;9794.6947
103.5;9903.4643;10539.1375;10024.2846;9695.6806;9591.7192;9258.7927;9866.7458;10404.5443;9634.7095
104;10062.224;10456.083;10131.9679;9786.7548;9647.095;9117.8753;9485.0332;10432.4575;9609.0326
104.5;10054.7652;10542.3698;10174.1003;9768.9981;9778.6205;9225.956;9758.713;9862.7408;9839.9464
105;10207.0361;10364.1527;10229.2067;9682.6925;9579.9994;9248.8092;9598.7413;10220.444;9843.4573
105.5;9861.0282;10384.3425;10389.7295;10269.3336;9850.1637;9318.3551;9342.4532;10509.5502;9552.8658
106;10122.87;10426.1683;10179.7934;10232.7228;9371.2995;9002.4134;9524.1774;10082.9639;9579.1407
106.5;10048.1953;10111.5044;10394.8869;9901.2133;9623.4487;9045.4322;9813.6642;10435.2605;9991.1152
107;10150.0303;10313.2351;10150.9971;9921.816;9600.1729;9080.7046;9777.9805;10020.2959;9975.2508
107.5;10031.001;10541.0599;10341.5211;10394.5646;9806.0785;8806.3435;9800.0352;9978.9586;9637.8163
108;10298.4345;10204.4838;10548.0303;10067.1394;9246.5415;9318.3642;9555.6977;10142.2173;10239.3315
108.5;10529.1051;10279.852;10951.5351;10130.1623;9407.9632;8929.8953;9945.6314;10191.5744;10125.6721
109;9984.9053;10054.9673;10578.1775;10263.2164;9742.3286;8906.7609;9856.4408;9853.3724;9811.2974
109.5;10204.5901;10300.805;10614.498;9740.8536;9483.5306;9658.2267;9616.9429;9913.1544;9955.3515
110;10201.1855;10549.568;10638.7507;10125.8833;9811.6633;9673.1651;10181.0043;9856.3589;9976.6867
110.5;10270.115;10255.34;10881.2346;9756.5057;9731.4415;9591.1832;9812.2949;9990.8485;9888.5508
111;10199.8377;10321.1387;10600.9835;9836.9212;9682.19;9397.7042;9819.4925;9802.3752;9741.448
111.5;10138.6257;10124.9164;10635.9172;10251.0729;9249.6681;9179.0595;9534.2777;9860.3135;9639.59
112;10389.3472;10614.0629;10528.4477;9831.1798;9635.7118;9523.8828;9443.5264;10116.6418;9842.9296
112.5;10438.6517;10462.737;10616.2823;9824.6838;9829.0307;9653.0729;9646.0506;9727.4811;9935.3638
113;10444.0592;10778.5003;10683.0458;9559.2474;9790.0074;9303.1725;9709.8281;10128.1446;9613.9109
113.5;10277.5871;10171.1965;10658.1992;9922.7264;9646.6795;9635.6355;10295.658;10095.7451;9389.1913
114;10252.3538;10184.883;10649.6151;9929.8278;9816.6934;9826.7744;9931.4315;10060.3696;9748.3966
114.5;10066.5176;10088.9029;10817.5667;9967.5069;9534.6698;9870.8075;10217.8956;10829.1359;9607.8409
115;10094.7852;10494.9789;10951.6782;10013.5921;9225.472;9960.8689;10061.425;10206.9202;9518.5555
115.5;10286.4247;10779.39;10705.0674;10101.6027;9248.3467;10075.4144;9766.3329;10199.2551;9975.7103
116;10194.5386;10417.1225;10741.707;10282.2354;9455.1727;9666.7367;9774.4491;10284.5292;9980.7524
116.5;10497.655;10444.554;10578.0463;9789.6699;9440.4322;9739.6786;10510.7647;10404.9923;10167.5127
117;10550.7714;10395.7327;10457.5126;9975.6764;9027.9507;9668.3124;9863.9891;9935.666;9787.3805
117.5;9728.372;10523.2775;10286.3755;10303.8312;9590.212;9613.6848;9898.4324;10148.9345;10070.1012
118;10039.0426;10281.0208;10154.1151;10282.5926;9632.5312;9604.8989;10153.463;10570.5162;9504.7176
118.5;9882.2375;10223.1663;10322.3735;10313.3923;9537.8086;9624.356;9956.076;10533.1549;10030.3591
119;9792.8761;10539.7836;10299.0954;9875.3746;9222.2022;9382.5143;10002.4081;10088.8543;9669.9925
119.5;10024.0518;10260.7918;10640.0013;9652.1575;8938.1494;9871.4592;9705.4744;9603.71;9611.1814
120;9691.0973;10374.1231;10257.3969;9743.3504;9238.499;9449.3558;9763.3595;10083.3526;9614.2863
