[3Fe-4S]+;[4Fe-4S]2+
118.1322;90.8937
114.7779;91.0032
118.807;90.9671
115.7918;93.5418
116.1953;93.4282
115.0372;92.3399
110.1958;92.3609
117.5806;92.9037
114.7371;91.9368
112.6493;94.1657
117.5613;91.0651
113.458;92.972
115.0213;90.456
117.6003;91.095
112.8782;93.3921
115.6575;92.8872
116.0524;93.37
115.2789;94.8569
113.8504;95.4484
116.6472;94.599
113.9089;93.7939
115.8109;94.6996
124.7258;90.6048
119.7892;89.1991
117.8251;91.2148
117.1274;92.8419
116.4697;89.6461
114.2209;91.7987
115.9599;91.7757
116.2751;90.6244
110.3972;92.8497
116.3954;91.9091
116.1782;92.1505
114.5201;92.9694
116.1279;92.5943
116.5014;91.7369
109.9217;93.7465
108.8807;95.9246
112.4475;91.079
114.0959;91.8251
112.3462;90.7956
113.8767;94.1671
112.9084;95.8539
115.5602;92.706
114.9921;94.3685
115.005;94.9237
116.7884;93.7281
117.7061;93.8932
114.3805;92.4706
116.082;94.997
113.3086;94.9599
116.9954;92.2662
115.833;97.243
114.7702;94.5529
115.5044;94.9247
116.6956;93.6875
112.9315;92.8999
113.5117;94.9384
110.5054;92.1254
112.6187;92.7692
114.5354;93.3965
110.479;92.2724
114.6859;90.5811
113.239;93.395
114.4047;91.5604
113.5912;94.415
114.2674;93.3508
117.4357;95.9162
121.1594;93.6175
117.227;92.3849
115.7851;90.7504
120.7385;93.438
116.5201;90.9662
116.7494;92.9206
119.9223;90.3863
120.237;94.7324
117.6033;94.3296
122.6861;93.2633
117.4768;93.8296
116.4561;93.7443
115.9631;92.767
119.4536;94.6901
121.2385;91.9736
119.3302;94.1893
119.9532;93.564
119.0202;93.1099
119.9695;94.0585
115.9749;92.0293
118.7079;92.1325
119.1288;92.4868
117.1838;93.8397
119.3954;96.7641
121.3761;94.5032
124.3001;93.3135
123.7146;94.4977
123.0772;93.999
129.219;94.5084
122.4351;95.4805
122.3815;92.2475
118.1986;95.2348
121.9642;93.3687
119.7488;92.8365
122.9281;91.2616
126.1313;94.9542
122.9298;96.709
126.8786;94.7574
119.0318;93.113
121.2616;93.3322
125.8252;93.131
120.4248;95.5184
116.6533;94.838
120.8573;93.2959
118.6018;95.2546
120.9225;92.2098
123.4909;93.4435
124.8233;94.9437
120.1246;92.4157
119.7095;95.0914
