Time (ns);[3Fe-4S]+ exp1;[3Fe-4S]+ exp2;[3Fe-4S]+ exp3;[4Fe-4S]2+ exp1;[4Fe-4S]2+ exp2;[4Fe-4S]2+ exp3;[4Fe-4S]2+ exp4;[4Fe-4S]2+ exp5;[4Fe-4S]2+ exp6
103.5;51.3825;113.0341;109.7651;46.0184;51.5779;9.566;67.0598;49.0975;26.8931
104;53.7625;121.7912;111.4391;41.1134;52.9449;4.4512;56.4292;51.6626;20.3845
104.5;54.2445;114.7815;109.3829;51.1391;36.6419;14.0395;57.7429;46.5189;22.1151
105;52.8125;111.8431;109.3782;41.898;46.4184;8.2363;40.5086;51.0994;25.1758
105.5;60.8706;114.0225;105.114;50.5622;51.6811;4.3228;55.4046;56.9061;17.4954
106;50.6226;109.9191;100.6361;33.8029;41.6889;-2.2511;47.7726;57.6756;24.2405
106.5;58.7297;119.0032;106.8317;53.9989;39.788;0.2305;40.5157;42.3582;31.7482
107;54.7269;112.0376;90.1865;34.6325;38.9255;2.0731;50.6534;51.6475;23.0014
107.5;51.0606;126.4771;101.8289;39.4166;43.1911;9.7244;59.228;57.3723;23.6298
108;54.6588;120.6175;107.5116;37.8275;40.6958;2.092;51.7303;52.9448;29.2153
108.5;56.1461;118.9775;102.8584;45.277;40.7509;13.0729;44.2421;46.9886;24.9625
109;56.7552;106.0125;101.9025;38.1402;35.705;11.5628;56.6726;35.989;29.9851
109.5;41.454;111.6949;104.0905;39.8332;33.219;6.8956;52.9044;42.8655;30.1872
110;53.5963;123.0589;105.4101;34.8857;42.155;8.155;54.7589;44.4665;16.1728
110.5;52.8088;117.4426;85.4958;31.3519;38.8116;12.9755;43.1315;54.2912;27.5658
111;53.1255;121.4426;102.2789;31.1162;46.8342;4.034;47.9687;38.5893;37.342
111.5;50.5975;127.0247;104.853;44.9689;56.0482;9.4606;46.3846;40.5408;29.4559
112;53.6242;122.5565;93.7299;36.7269;47.8164;14.1267;48.5483;49.7178;29.3374
112.5;46.6866;127.4282;106.2618;34.159;49.1048;10.0995;38.184;47.5031;35.1947
113;51.969;120.1284;103.5677;40.5016;52.5423;9.9456;39.8825;47.36;25.4872
113.5;47.2808;119.9387;108.8831;50.3125;46.6509;8.6967;60.8407;47.077;31.0504
114;58.3836;123.468;98.7703;49.0157;43.8381;6.0494;40.8126;32.3869;39.7504
114.5;51.2943;119.9519;101.8519;39.839;41.2692;2.7142;46.8198;39.2604;34.0696
115;45.9254;127.183;101.2508;44.3901;53.468;3.6222;47.879;42.6266;37.2927
115.5;59.0122;124.9096;108.328;38.0487;39.8181;13.6723;43.1374;36.8545;36.4832
116;58.4708;128.8739;103.9474;44.1251;45.2689;9.6321;47.24;36.9573;21.7486
116.5;58.7418;116.9891;88.8849;48.7812;40.5309;4.4694;66.6162;38.5965;21.0292
117;68.0213;118.8509;101.0838;39.1209;39.3768;11.3342;68.7053;38.8637;33.4364
117.5;58.4897;105.5906;87.3726;43.8759;38.2217;4.1773;44.9744;42.4917;35.6554
118;54.7118;119.7691;98.4495;31.2034;42.0584;11.1197;48.8011;31.2199;28.3666
118.5;50.9156;113.7338;97.8559;38.1202;50.9549;3.8665;52.175;34.3542;22.7691
119;47.721;96.9356;107.5075;25.4283;53.669;14.1809;41.6268;39.0094;19.9154
119.5;56.1272;107.5188;108.4305;29.3365;60.8416;2.5282;43.4518;44.1842;26.1026
120;57.5355;98.6225;100.0143;41.9013;46.7529;6.6888;39.3121;25.026;25.7724
120.5;56.8513;88.7351;115.8249;38.3579;55.1396;9.1805;44.3379;50.689;23.5354
121;51.8106;96.6843;113.7656;40.7531;26.9728;12.0938;60.7128;46.1896;29.0229
121.5;46.3571;98.5287;108.5208;39.9391;37.5906;9.4275;31.6769;45.3349;30.1922
122;53.2767;104.8983;121.4167;52.4359;40.5371;13.6713;40.356;50.598;19.1385
122.5;41.4674;106.0624;94.2244;48.9196;36.4731;9.6728;28.4969;51.9159;15.7616
123;59.7372;127.9871;105.1557;50.4492;38.1784;12.0667;44.6578;43.6896;29.2889
123.5;47.198;87.9872;121.4011;52.1262;36.6472;10.5496;38.2484;38.2305;33.8514
124;42.9626;116.4245;126.448;46.3842;39.7306;15.0845;45.4709;45.6657;32.8466
124.5;54.9829;114.1538;118.2218;43.2102;36.8895;17.4881;42.6966;43.1942;25.2967
125;54.8944;115.1456;111.0066;50.4611;44.7536;8.4802;57.302;33.2612;28.3418
125.5;54.4067;125.2209;114.4734;52.3876;36.6485;7.3867;51.9432;40.8784;27.5882
126;56.8946;114.873;90.4589;53.383;37.3429;15.2286;47.7993;45.1076;22.984
126.5;52.1829;120.7019;99.9041;44.1056;41.0295;11.7983;48.2845;42.8438;25.0452
127;54.0046;110.2645;104.6051;46.1924;28.3368;14.2135;45.296;42.8936;22.2678
127.5;41.776;118.9463;85.4441;41.0486;35.9;9.8661;54.8171;48.2092;29.0804
128;53.9283;116.9331;98.0962;39.672;37.6288;11.9843;51.8374;42.2763;20.7409
128.5;49.2356;125.748;107.3865;43.3702;38.4873;11.0839;54.4653;58.7704;27.4658
129;47.5166;111.8176;96.889;36.1713;37.7068;21.4273;47.2299;49.9953;34.3588
129.5;68.5322;119.5909;108.3454;42.9442;38.5572;17.1635;52.172;57.5364;30.8254
130;56.1017;117.3838;98.8281;44.0093;30.5724;18.262;67.2031;55.5048;19.143
130.5;66.5933;120.0464;96.1914;39.1101;47.5558;12.998;74.8078;51.6231;22.2192
131;62.4588;114.0013;103.3904;45.2368;53.3805;5.4904;44.7736;43.6704;19.0602
131.5;59.1619;96.4037;105.9976;38.6473;45.5178;15.296;54.7286;50.4476;22.6289
132;51.9026;110.2413;87.0961;50.4166;47.9303;26.4789;48.4537;38.7103;22.9806
132.5;47.9167;115.6623;88.8396;37.9554;44.8619;20.6865;39.6729;45.2012;31.7507
133;48.1438;96.5959;85.4644;52.3706;42.7893;12.9704;47.1641;58.1842;19.1937
133.5;54.7642;114.0821;75.7517;32.3594;53.9148;10.0279;44.7288;41.5455;28.2696
134;39.2528;118.5993;85.0849;39.2899;56.3164;8.4636;46.7737;48.188;26.4577
134.5;65.0058;120.8087;81.9606;47.7917;55.1389;12.8425;56.9031;54.4951;27.7453
135;56.5298;119.1813;101.1697;42.3401;50.6657;19.4918;61.7391;42.3269;35.4904
135.5;48.8141;112.5949;98.5519;40.7263;56.4321;1.9545;45.989;48.6695;25.2342
136;46.7177;120.6088;91.5055;36.2805;52.4742;14.5492;58.0383;49.9866;23.7329
136.5;46.057;111.3692;79.5703;30.0657;50.5034;5.96;72.3407;49.9989;34.6082
137;52.0994;128.6003;92.9028;41.4179;47.5856;9.7715;61.7429;49.9192;20.4537
137.5;48.6498;125.4954;102.9206;30.265;53.4098;1.9128;50.7963;46.1004;30.3443
138;56.956;142.558;75.9217;23.8049;53.388;16.9817;53.7337;46.382;32.4703
138.5;52.302;134.0188;85.4334;29.8529;38.3249;8.3148;48.923;40.3523;34.566
139;53.2918;124.334;88.3516;34.8118;43.7712;13.5694;59.6405;44.8289;29.6671
139.5;43.7819;122.4601;88.6693;40.5434;38.7713;10.0855;59.5347;41.7167;23.7662
140;47.1606;100.3411;94.5731;28.8844;41.2984;8.5486;60.7145;51.4427;32.7056
140.5;54.5587;118.3459;105.8398;37.4218;55.0926;9.8446;49.7384;51.6226;24.1173
141;51.655;125.9345;82.0875;40.5671;40.7849;23.2367;54.5699;48.374;29.5911
141.5;70.9797;122.1859;79.8169;39.3339;28.133;28.1279;43.9529;49.2565;25.5047
142;51.3587;121.9342;78.1085;45.0683;37.409;15.2771;49.4231;48.3903;34.9413
142.5;54.1262;132.1576;79.2602;44.3108;37.2772;17.2676;48.9936;47.2462;30.5209
143;47.5534;115.7583;96.0149;37.1237;36.8896;22.8155;56.7637;52.9121;30.2597
