Wavelength (nm);FXN;ACO2;FXN:ACO2 2.5:1;Sum of FXN and ACO2 spectra;;;;
473;1.732224;1.349554;2.684094;3.440384;;;;
474;1.750334;1.208514;2.575854;3.355364;;;;
475;1.478049;1.266399;2.492889;3.131109;;;;
476;1.459778;1.166328;2.363598;3.001338;;;;
477;1.440467;1.116847;2.318357;2.865237;;;;
478;1.299841;1.131141;2.115921;2.796951;;;;
479;1.186192;1.038082;1.998432;2.589292;;;;
480;1.15886;1.08609;1.96483;2.61989;;;;
481;1.207284;0.873554;1.847354;2.416084;;;;
482;1.082377;0.870257;1.746967;2.316097;;;;
483;1.096154;0.808094;1.630424;2.305194;;;;
484;0.997785;0.795935;1.618815;2.140305;;;;
485;0.968951;0.735921;1.453431;2.054681;;;;
486;0.958183;0.795653;1.481923;2.062013;;;;
487;0.89721;0.70794;1.45309;1.94467;;;;
488;0.91417;0.616979;1.34308;1.91207;;;;
489;0.847427;0.634486;1.248057;1.847217;;;;
490;0.816882;0.641112;1.127032;1.867382;;;;
491;0.724895;0.576052;1.237625;1.651435;;;;
492;0.807908;0.526959;1.130138;1.729638;;;;
493;0.713767;0.57191;1.142567;1.620037;;;;
494;0.786393;0.609877;1.131563;1.727293;;;;
495;0.678432;0.495624;1.103902;1.521862;;;;
496;0.612441;0.490274;1.001547;1.432597;;;;
497;0.681879;0.393487;1.010919;1.414949;;;;
498;0.588997;0.470916;1.0041;1.42173;;;;
499;0.66916;0.525562;0.887697;1.524507;;;;
500;0.499279;0.384346;0.854558;1.246638;;;;
